"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Leg Extension (Machine)",,"",1,"normal",30,12,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Leg Extension (Machine)",,"",2,"normal",30,12,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Hip Adduction (Machine)",,"",0,"normal",69,15,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Hip Adduction (Machine)",,"",1,"normal",69,15,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Hip Adduction (Machine)",,"",2,"normal",69,15,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Bench Press (Barbell)",,"",0,"normal",70,8,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Bench Press (Barbell)",,"",1,"normal",70,8,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Bench Press (Barbell)",,"",2,"normal",70,8,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Bench Press (Barbell)",,"",3,"normal",70,8,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Incline Bench Press (Dumbbell)",,"",0,"normal",52,8,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Incline Bench Press (Dumbbell)",,"",1,"normal",52,8,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Incline Bench Press (Dumbbell)",,"",2,"normal",52,7,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Overhead Press (Dumbbell)",,"",0,"normal",36,7,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Overhead Press (Dumbbell)",,"",1,"normal",36,7,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Overhead Press (Dumbbell)",,"",2,"normal",36,7,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Lateral Raise (Dumbbell)",,"",0,"normal",9,15,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Lateral Raise (Dumbbell)",,"",1,"normal",9,15,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Lateral Raise (Dumbbell)",,"",2,"normal",9,15,,,
"Routine 2 - Upper (Push)","2 Sep 2026, 19:45","2 Sep 2026, 20:10","","Lateral Raise (Dumbbell)",,"",3,"normal",9,15,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lat Pulldown (Machine)",,"",0,"normal",90,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lat Pulldown (Machine)",,"",1,"normal",95,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lat Pulldown (Machine)",,"",2,"normal",100,7,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lat Pulldown (Machine)",,"",3,"normal",100,6,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Iso-Lateral Row (Machine)",,"",0,"normal",85,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Iso-Lateral Row (Machine)",,"",1,"normal",85,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Iso-Lateral Row (Machine)",,"",2,"normal",85,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Iso-Lateral Row (Machine)",,"",3,"normal",85,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Face Pull",,"",0,"normal",50,15,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Face Pull",,"",1,"normal",50,15,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",35,15,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",35,15,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",35,15,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Bicep Curl (Dumbbell)",,"",0,"normal",9,12,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Bicep Curl (Dumbbell)",,"",1,"normal",9,12,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Bicep Curl (Dumbbell)",,"",2,"normal",9,12,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Shrug (Dumbbell)",,"",0,"normal",56,12,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Shrug (Dumbbell)",,"",1,"normal",56,12,,,
